Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.616664,0.27614787,0.59415305,0.96140003,0.00345473,0.00098855,-0.01309281,0.00565114,0.01429455,0.06566696,-0.04564566,-0.02434991,0.04099516,3
0.624997,0.27615279,0.59401929,0.96144533,0.00359603,0.00178666,-0.01274233,0.005371,0.01394298,0.07708253,0.00268467,-0.0489668,-0.00631603,3
0.633331,0.2761749,0.59392744,0.96148747,0.00369948,0.00273288,-0.01219993,0.00474455,0.01337227,0.08511373,0.05699329,-0.07213528,-0.05785298,3
0.641664,0.27619672,0.59380263,0.96152925,0.0038329,0.00359209,-0.01144593,0.00392915,0.01262341,0.08255371,0.09301621,-0.094126,-0.09087671,3
0.649997,0.27624503,0.59376192,0.96156096,0.00390358,0.00412615,-0.01075987,0.00311555,0.01193761,0.06756002,0.10971873,-0.11014429,-0.10250723,3
0.658331,0.27627406,0.59363067,0.96158206,0.00403965,0.00458779,-0.00970248,0.00218273,0.01095218,0.05314927,0.13465032,-0.11386605,-0.11399358,3
0.666664,0.27632216,0.59358799,0.96159023,0.00410447,0.00491949,-0.00860277,0.00108004,0.00996873,0.04298244,0.15603426,-0.10935275,-0.1178353,3
0.674997,0.27634785,0.5934664,0.9616003,0.00422916,0.00522318,-0.00714603,0.00000954,0.00885141,0.03327454,0.15808709,-0.10156237,-0.10721592,3
0.683331,0.2764045,0.59345669,0.96159589,0.00428681,0.00557484,-0.00534119,-0.00071228,0.00775336,0.01916067,0.13226859,-0.08604835,-0.08455945,3
0.691664,0.27644673,0.59339559,0.96158475,0.00436191,0.00573012,-0.00411393,-0.00129581,0.00717201,0.00597128,0.09395792,-0.06608301,-0.05737349,3
0.699997,0.27650777,0.59340501,0.96156305,0.00442737,0.00571343,-0.00351848,-0.00177563,0.00694088,0.00013589,0.05299965,-0.05394382,-0.02455201,3
0.70833,0.27655083,0.59336174,0.9615519,0.00448942,0.00540676,-0.00394107,-0.00208557,0.00700819,0.00544732,0.02580307,-0.05211873,0.00522739,3
0.716664,0.27659425,0.59334081,0.96153218,0.00454151,0.00532927,-0.00400604,-0.00242294,0.00709367,0.0155158,0.01843228,-0.05275053,0.02319318,3
0.724997,0.27663115,0.59327775,0.96151835,0.00461586,0.00561716,-0.0038922,-0.00289918,0.00742341,0.02864503,0.03211645,-0.0538866,0.03221013,3
0.73333,0.27667314,0.59324878,0.96148872,0.00467486,0.00621381,-0.0031525,-0.00349404,0.00779474,0.04398739,0.04898229,-0.05247637,0.0385825,3
0.741664,0.27672991,0.59322077,0.9614557,0.00474626,0.00656578,-0.00268699,-0.00397982,0.00813439,0.05273023,0.04952826,-0.04739323,0.04506394,3
