Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.366665,0.24464042,0.41641825,1.08201611,0.00459212,-0.00035331,0.00130982,-0.00193597,0.00236398,0.05159509,0.06216336,-0.00642543,0.00615633,3
0.374999,0.24464224,0.41643381,1.0819968,0.00461699,-0.00015229,0.00153781,-0.00194193,0.00248176,0.02681903,0.02755306,0.0017834,0.01772652,3
0.383332,0.24463098,0.41644388,1.08198524,0.00463601,0.00021696,0.00196547,-0.0018251,0.00269094,0.02298671,0.01957195,0.00477795,0.01156256,3
0.391665,0.24463017,0.41644993,1.08196926,0.00465311,0.00045255,0.00205667,-0.00170589,0.00271012,0.02565971,0.02263802,0.00195982,0.01644375,3
0.399998,0.24463756,0.41647294,1.08195567,0.00468084,0.00054002,0.00205279,-0.00164748,0.00268696,0.02085553,0.01978652,-0.00566725,0.02099952,3
0.408332,0.24465927,0.41650483,1.08194053,0.00472228,0.00069857,0.002203,-0.00177146,0.00291192,0.01073697,0.01588715,-0.01324902,0.02235404,3
0.416665,0.24465947,0.4165175,1.08192945,0.00473912,0.00086069,0.00248821,-0.00200272,0.003308,0.00736123,0.02387065,-0.0163032,0.02979623,3
0.424998,0.24465933,0.41653287,1.08191371,0.00476112,0.00088662,0.00266315,-0.00223638,0.00358885,0.01164118,0.0324824,-0.01292477,0.03579192,3
0.433332,0.24466,0.41654593,1.08189166,0.00478675,0.00075147,0.00280679,-0.00234128,0.00373154,0.01200446,0.0267472,-0.00481609,0.02710247,3
0.441665,0.24467781,0.41658342,1.08186603,0.00483553,0.00093863,0.00329347,-0.00228883,0.00411906,0.0060067,0.01221428,0.00442983,0.00871988,3
0.449998,0.24469142,0.41661656,1.08184481,0.00487717,0.00123099,0.00350566,-0.00214578,0.00429061,0.00170084,-0.00168804,0.01104601,-0.00750302,3
0.458331,0.24469334,0.41664293,1.08183253,0.00490633,0.00125841,0.00330032,-0.00201465,0.00406627,-0.00314565,-0.02247412,0.0111557,-0.02449382,3
0.466665,0.24470483,0.41667876,1.08182144,0.00494555,0.00099674,0.00285239,-0.00189067,0.0035643,-0.01409542,-0.04261229,0.00678307,-0.03938274,3
0.474998,0.24471399,0.41668707,1.08180463,0.00496642,0.00077054,0.00240655,-0.00184537,0.00312899,-0.02347518,-0.04244182,0.00485185,-0.04054796,3
0.483331,0.24472527,0.41671416,1.08178544,0.00500148,0.00059486,0.00184835,-0.00190855,0.00272265,-0.02473255,-0.02939784,0.00715739,-0.03209145,3
0.491665,0.2447271,0.41672307,1.08176708,0.00502197,0.00042081,0.00163586,-0.00193597,0.00256926,-0.0199704,-0.01444649,0.00993737,-0.02030534,3
0.499998,0.24472238,0.41673622,1.0817548,0.00504057,0.00020936,0.00180215,-0.00177146,0.00253568,-0.01292567,0.00154198,0.01291047,-0.00839735,3
0.508331,0.24472532,0.4167437,1.08174062,0.00505687,0.00006348,0.00194252,-0.00152588,0.00247098,-0.00780738,0.01254569,0.01662744,-0.00180412,3
0.516665,0.24472828,0.41676313,1.08172715,0.0050807,0.00007078,0.00211895,-0.00137806,0.00252864,-0.00504498,0.00630085,0.01778856,-0.00685563,3
0.524998,0.24472938,0.41678855,1.0817169,0.00510813,0.00019789,0.0021875,-0.00129581,0.00255018,-0.00228228,-0.01063416,0.01438391,-0.01739817,3
0.533331,0.24473019,0.41681069,1.0817076,0.00513216,0.00013977,0.00213564,-0.00119567,0.00245156,0.00093848,-0.02715132,0.01091965,-0.02761099,3
0.541664,0.24472639,0.41682377,1.08169878,0.00514839,0.00006676,0.0016895,-0.00108123,0.00200697,0.0020987,-0.0394717,0.0112463,-0.03643982,3
0.549998,0.24473599,0.41683656,1.08168912,0.00516707,0.00001743,0.00116289,-0.00101924,0.00154644,0.00199021,-0.0454197,0.01360666,-0.04196016,3
0.558331,0.24472898,0.4168438,1.08167911,0.00518127,0.00017241,0.00069022,-0.00093222,0.00117268,0.00612711,-0.04018459,0.01528513,-0.03797394,3
0.566664,0.24473475,0.41684714,1.08167398,0.00518968,0.00026032,0.00041723,-0.00077844,0.00092077,0.00954934,-0.02964461,0.01718058,-0.02879523,3
0.574998,0.24472837,0.41684952,1.08166564,0.00520045,0.00028491,0.00025809,-0.00058294,0.00069828,0.0079847,-0.01823619,0.01880422,-0.02057125,3
0.583331,0.24474202,0.41684464,1.08166373,0.00521507,0.00042305,0.00029326,-0.00041962,0.00066411,0.00472728,-0.00551705,0.01577867,-0.01144088,3
0.591664,0.24474145,0.41685212,1.08165991,0.00522349,0.00040144,0.00010878,-0.00025869,0.0004898,0.005796,0.00489477,0.00977286,-0.00039402,3
0.599998,0.24474818,0.41685188,1.0816592,0.00523025,0.00043467,0.00023753,-0.00018001,0.00052703,0.00700956,0.01245807,0.0048447,0.00942332,3
0.608331,0.24474926,0.41686183,1.0816586,0.00524028,0.00043556,0.00038386,-0.00025272,0.00063319,0.00811643,0.02249557,0.00028134,0.01985461,3
0.616664,0.2447477,0.41684678,1.08165836,0.00525542,0.00059977,0.00066817,-0.0002873,0.00094272,0.01048901,0.02859555,-0.00606065,0.02787805,3
0.624997,0.24475889,0.41686764,1.08165407,0.00527948,0.0006935,0.0009355,-0.00030875,0.00120475,0.01156608,0.0193228,-0.01042136,0.02421081,3
0.633331,0.24476251,0.41686258,1.08164835,0.00528793,0.00081867,0.00127942,-0.00036121,0.00156128,0.0102646,0.00363413,-0.01087197,0.01371195,3
0.641664,0.24477656,0.41689721,1.0816468,0.00532534,0.00087545,0.00126988,-0.0005579,0.0016402,0.00510906,-0.0168164,-0.00970848,0.00153773,3
0.649997,0.24477878,0.41689476,1.08164501,0.00532909,0.00092671,0.00086487,-0.00069619,0.00144619,0.00225695,-0.03747374,-0.00670915,-0.00684333,3
0.658331,0.24478562,0.41691622,1.08164001,0.00535216,0.00092298,0.00042975,-0.0007236,0.00124907,0.0035319,-0.04500246,0.00016451,-0.01054922,3
0.666664,0.24479371,0.41689932,1.08162618,0.00537545,0.00082091,-0.00021577,-0.00065327,0.00107108,0.00589643,-0.03024364,0.00904806,-0.0083867,3
0.674997,0.24480428,0.41690192,1.08161914,0.0053884,0.0009273,-0.00052124,-0.00052929,0.00118817,0.00624155,-0.0114722,0.01403581,-0.00341499,3
0.683331,0.24481089,0.41689169,1.08161712,0.00540075,0.00107602,-0.00041843,-0.00035525,0.00120793,0.00652468,-0.00248017,0.01328956,0.00043741,3
0.691664,0.24481501,0.41688615,1.08162153,0.00540894,0.00119776,0.00009447,-0.00019193,0.00121671,0.00629669,0.0022942,0.00806815,0.00183532,3
0.699997,0.24482737,0.41688672,1.08161938,0.0054215,0.00116751,0.00014126,-0.00013113,0.00118331,0.00189664,-0.00050307,0.00131846,0.00168348,3
0.708331,0.24484131,0.41689834,1.08161676,0.00543984,0.00110865,-0.00020355,-0.0001967,0.00114422,-0.00264706,-0.01420926,-0.00422243,0.00327534,3
0.716664,0.24485476,0.41690603,1.08161139,0.00545624,0.00111983,-0.00044465,-0.00033498,0.00125058,-0.00014691,-0.02308208,-0.00726705,0.00669184,3
0.724997,0.2448571,0.41689488,1.08161283,0.00546771,0.00104502,-0.00065536,-0.00042558,0.00130487,0.00963815,-0.01138934,-0.00680929,0.01260124,3
0.73333,0.24486172,0.41686645,1.08160925,0.00549674,0.00109241,-0.00078857,-0.00043988,0.00141729,0.0166173,0.00341478,-0.00260832,0.01585019,3
0.741664,0.2448734,0.41686976,1.08160448,0.00550978,0.00134409,-0.00067055,-0.00044227,0.00156583,0.02069876,0.01083919,0.00284436,0.01646071,3
0.749997,0.24488388,0.41686183,1.08159745,0.00552469,0.0017117,-0.00028968,-0.00040651,0.001783,0.02293843,0.01444947,0.00471119,0.01581921,3
0.75833,0.2449057,0.41687971,1.08159447,0.00555305,0.00186355,-0.00015259,-0.00032902,0.00189851,0.01530986,0.00817186,0.00196458,0.01042857,3
0.766664,0.2449194,0.41686833,1.08159292,0.00557094,0.00198723,-0.00010937,-0.00023723,0.00200432,-0.00089945,-0.0076384,-0.00238659,0.00242507,3
0.774997,0.2449398,0.41686675,1.0815959,0.00559161,0.00194148,-0.0002557,-0.00029206,0.00197991,-0.01418364,-0.02173561,-0.00689989,-0.00202872,3
0.78333,0.24494983,0.41685525,1.08159053,0.00560779,0.00167013,-0.00063539,-0.00045061,0.00184285,-0.01984135,-0.02773009,-0.01106748,-0.00309957,3
0.791664,0.24497098,0.41686475,1.0815897,0.00563099,0.00134036,-0.00094533,-0.00060082,0.00174677,-0.01951442,-0.02689205,-0.01281033,-0.0027362,3
0.799997,0.24497776,0.41685265,1.08157647,0.00565016,0.0011471,-0.00120968,-0.00070215,0.00180891,-0.01049498,-0.01763119,-0.00848538,0.00078548,3
0.80833,0.24498579,0.41684288,1.08157337,0.00566318,0.00113845,-0.00126601,-0.00075102,0.00186088,0.00568275,-0.00307025,-0.00033617,0.00626431,3
0.816663,0.2449868,0.41681442,1.08156598,0.00569261,0.00127689,-0.00123114,-0.00077248,0.00193465,0.02288926,0.01413178,0.00533823,0.01227158,3
0.824997,0.24500084,0.41680956,1.08156312,0.00570773,0.00155017,-0.00105679,-0.00063181,0.00197966,0.03322927,0.02642415,0.00540976,0.01720716,3
0.83333,0.24501693,0.41680661,1.0815556,0.00572574,0.00194476,-0.00075102,-0.00047565,0.00213831,0.03109718,0.02865516,0.00510697,0.01547832,3
0.841663,0.24504007,0.41680995,1.08154798,0.00575033,0.0023614,-0.00028879,-0.00044584,0.00242041,0.02364892,0.02619526,0.00529771,0.01124714,3
0.849997,0.24505408,0.41679925,1.08154976,0.00576805,0.00254468,-0.00010401,-0.00056863,0.00260951,0.02557418,0.03182795,0.00079155,0.02022919,3
0.85833,0.24508061,0.4167971,1.08154881,0.00579468,0.00240163,-0.00005722,-0.00053168,0.00246044,0.03866556,0.04769602,-0.00330213,0.04365604,3
0.866663,0.24510093,0.41679993,1.08154154,0.00581645,0.00250415,0.00004619,-0.00047922,0.00255001,0.0596382,0.07076737,0.00079394,0.0763343,3
0.874996,0.24512552,0.41680592,1.08153176,0.00584358,0.00326516,0.00092775,-0.00055313,0.00343917,0.08585431,0.09257093,0.00518564,0.11049136,3
0.88333,0.2451347,0.41680726,1.08152819,0.00585352,0.00437023,0.00209571,-0.00055671,0.00487861,0.10662045,0.10329328,0.00114203,0.13485049,3
0.891663,0.24517587,0.41681466,1.08152831,0.00589535,0.00556263,0.00338794,-0.00038862,0.00652472,0.10224368,0.094278,-0.00291589,0.13015011,3
0.899996,0.24523556,0.41686344,1.08152509,0.00597251,0.0064497,0.00401558,-0.00036717,0.00760646,0.07374553,0.06776204,0.00070573,0.09635881,3
0.90833,0.24531123,0.41690904,1.08152056,0.00606097,0.0070304,0.0043297,-0.00054956,0.00827495,0.03862201,0.03934237,0.00442509,0.0531669,3
0.916663,0.24537513,0.41697156,1.08151829,0.0061504,0.00695738,0.00428351,-0.00064492,0.0081957,0.01216541,0.02249617,0.00516657,0.02250391,3
0.924996,0.24541798,0.41697165,1.08150852,0.00619435,0.00672984,0.0043589,-0.00039816,0.00802803,0.00203132,0.02906586,0.00957735,0.01808824,3
0.93333,0.24547075,0.41700703,1.08150339,0.00625809,0.00652659,0.0045562,-0.00020385,0.00796221,0.01022971,0.05124196,0.01598609,0.03803366,3
0.941663,0.24551789,0.41702896,1.08150029,0.00631018,0.00671151,0.0050089,-0.00008464,0.008375,0.02676956,0.06783836,0.01440775,0.06193982,3
0.949996,0.24559028,0.41710845,1.08151174,0.00641829,0.00716853,0.00594946,-0.00002027,0.00931581,0.0357092,0.06664511,0.00442508,0.06911727,3
0.958329,0.24564458,0.41715533,1.08150911,0.00649008,0.00777739,0.00687393,0.00006437,0.01037993,0.03609305,0.05976426,-0.0033355,0.06574194,3
0.966663,0.24571146,0.41721088,1.08151007,0.00657702,0.00806022,0.00721607,-0.00000358,0.01081845,0.02695913,0.04290374,-0.00485424,0.04833416,3
0.974996,0.24577618,0.41726336,1.08150005,0.00666094,0.00805649,0.0071505,-0.00020981,0.01077408,0.00695088,0.01104247,-0.00447515,0.01252332,3
0.983329,0.24585696,0.41733867,1.08150756,0.00677164,0.00805903,0.0072563,-0.0002861,0.01084821,-0.01688076,-0.02227741,-0.00794894,-0.02723703,3
0.991663,0.24591939,0.41739494,1.08150244,0.00685584,0.00793371,0.00710222,-0.00019908,0.01065011,-0.02603613,-0.0389979,-0.00960596,-0.04475056,3
0.999996,0.24598624,0.41746557,1.08150196,0.00695309,0.00755686,0.00662896,-0.00016451,0.01005367,-0.01774387,-0.03969408,-0.00801331,-0.038573,3
1.008329,0.2460396,0.41750211,1.08149529,0.00701811,0.00704977,0.00580194,-0.00041843,0.00913985,-0.00192646,-0.03095948,-0.00900037,-0.02076291,3
1.016663,0.24610612,0.41755965,1.08149767,0.0071061,0.00711474,0.00552269,-0.00056267,0.0090242,0.01615146,-0.01948787,-0.01384746,0.00102061,3
1.024996,0.2461558,0.41759124,1.08149338,0.00716513,0.00763211,0.00570657,-0.00062824,0.00955032,0.0342729,-0.00482802,-0.01290332,0.02488502,3
1.033329,0.24621457,0.41763169,1.08148277,0.00723725,0.00823531,0.00612053,-0.00064254,0.01028076,0.03962694,0.00548723,-0.00595097,0.03555835,3
1.041662,0.24628964,0.41769481,1.08147562,0.00733559,0.00858459,0.00601652,-0.00081063,0.01051432,0.02091959,-0.00664655,-0.00151159,0.01339325,3
1.049996,0.24637359,0.41775092,1.08146977,0.00743675,0.00870634,0.00593665,-0.00077963,0.01056655,-0.01203221,-0.03858358,0.00006676,-0.03122441,3
1.058329,0.2464557,0.41781566,1.08146846,0.00754131,0.00846687,0.00557425,-0.00071883,0.01016252,-0.03552225,-0.05767095,0.00357392,-0.06096638,3
1.066662,0.2465183,0.4178355,1.08145654,0.00760805,0.0078519,0.00487926,-0.00062824,0.00926575,-0.03732674,-0.04847923,0.00892885,-0.05778736,3
1.074996,0.24657282,0.4178783,1.08145487,0.00767738,0.00712249,0.00387879,-0.0006187,0.00813373,-0.02779176,-0.03739329,0.0101877,-0.04383383,3
