Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.524998,0.06077972,0.52093327,0.94605249,0.02837686,-0.00147738,-0.05547188,-0.00675264,0.0559009,0.26009634,0.23298924,0.12152529,-0.23173268,3
0.533331,0.06074481,0.5204047,0.94599038,0.02891022,0.00193392,-0.05121371,-0.00570896,0.0515672,0.32664481,0.2719771,0.21602207,-0.26115352,3
0.541664,0.06078535,0.51999563,0.94594181,0.02932415,0.00554825,-0.04804631,-0.00342192,0.04848649,0.31278399,0.25970414,0.29010409,-0.2383666,3
0.549998,0.06087361,0.51966155,0.94591308,0.02967089,0.00858716,-0.04667897,-0.00000477,0.04746225,0.21750425,0.16168246,0.32240531,-0.13685483,3
0.558331,0.06099172,0.51938695,0.94592053,0.0299699,0.01017716,-0.04602987,0.00353397,0.0472738,0.09930874,0.07840016,0.29711604,-0.05629663,3
0.566664,0.06107262,0.51894414,0.94597805,0.0304237,0.00983004,-0.04628856,0.00617447,0.04772195,0.01458905,0.11973011,0.21116664,-0.10292616,3
0.574998,0.06114838,0.51849252,0.94606555,0.03088992,0.00843647,-0.04670698,0.00746372,0.04804606,-0.01410091,0.24110645,0.09616812,-0.22811243,3
0.583331,0.06120569,0.51806146,0.94614971,0.03133284,0.00772345,-0.04456598,0.00739101,0.04583018,0.02417067,0.36509463,0.00075343,-0.34129015,3
0.591664,0.06125947,0.51773918,0.94620186,0.03166372,0.0083699,-0.03915266,0.00640991,0.04054717,0.11149123,0.46456349,-0.04341518,-0.40888312,3
0.599998,0.06131649,0.51744866,0.94623548,0.03196167,0.0100857,-0.03335489,0.00537159,0.03525797,0.19109184,0.48715004,-0.03780634,-0.39619985,3
0.608331,0.0614084,0.51720762,0.94626731,0.0322216,0.01254426,-0.02891254,0.00504377,0.0319176,0.21666305,0.37728241,-0.00470047,-0.27257478,3
0.616664,0.06152451,0.51697332,0.94630969,0.03248651,0.01492782,-0.02642285,0.00562074,0.03086421,0.19570591,0.18322861,0.02405187,-0.08902436,3
0.624997,0.06167945,0.51678467,0.9463619,0.03273615,0.01650847,-0.02590071,0.00644508,0.03138336,0.15757312,-0.00214581,0.02485176,0.07192395,3
0.633331,0.06183022,0.51658046,0.94642067,0.0329967,0.01704465,-0.02745699,0.00692132,0.03305013,0.12864085,-0.14349462,-0.00231146,0.18496253,3
0.641664,0.06197973,0.51637805,0.94648802,0.0332572,0.01748163,-0.02975297,0.00652316,0.03511977,0.13377863,-0.21493588,-0.04532849,0.24374415,3
0.649997,0.06210851,0.51609337,0.94654709,0.03357518,0.01840141,-0.03210856,0.00560465,0.03742971,0.18633512,-0.17736834,-0.08034775,0.2367997,3
0.658331,0.062243,0.51578832,0.94659621,0.03391217,0.02023832,-0.03420426,0.00467064,0.0400167,0.28232455,-0.02984923,-0.08400151,0.18384027,3
0.666664,0.06242405,0.5154888,0.94661248,0.03426253,0.02296584,-0.03459765,0.00372471,0.04169293,0.39705026,0.16158018,-0.06059815,0.1429217,3
0.674997,0.06263096,0.5152058,0.94663638,0.03461391,0.02667352,-0.03214194,0.00333132,0.04190081,0.48990014,0.32816786,-0.02172964,0.13392341,3
0.683331,0.06287801,0.514925,0.94666171,0.03498877,0.03160765,-0.02696108,0.00347437,0.0416895,0.52355897,0.424144,0.04521289,0.13997984,3
0.691664,0.06313773,0.51469964,0.9466902,0.03533382,0.03706649,-0.0217385,0.00385405,0.04314326,0.48560163,0.41478965,0.13311253,0.16074406,3
0.699997,0.0634518,0.51453686,0.94673789,0.03569077,0.04162276,-0.01817532,0.00496389,0.04568847,0.36918214,0.288149,0.20432158,0.18149519,3
0.708331,0.06385514,0.51449573,0.94676512,0.03609712,0.04423755,-0.01667983,0.0074369,0.04785902,0.1849855,0.11710996,0.24335103,0.14659095,3
0.716664,0.06427694,0.51436704,0.94681537,0.03654096,0.04482317,-0.0169558,0.01051371,0.04906275,-0.01318155,0.0259962,0.24374683,0.02750888,3
0.724997,0.06467543,0.51422215,0.94691312,0.0369761,0.04337284,-0.01865633,0.01288717,0.04894222,-0.12144923,0.08005916,0.1730527,-0.1000538,3
0.73333,0.06499917,0.51398873,0.94706595,0.03740347,0.04060836,-0.0192941,0.01414782,0.04713239,-0.0865334,0.22392684,0.02447382,-0.13361664,3
0.741664,0.06529893,0.51381904,0.94722998,0.03778499,0.03813021,-0.01667208,0.01405245,0.04392428,0.04784193,0.36545685,-0.13259755,-0.05807408,3
0.749997,0.06560618,0.51367307,0.94733214,0.03814016,0.03940836,-0.0103492,0.0118274,0.04242655,0.21309215,0.45866269,-0.22905655,0.06735724,3
0.75833,0.06591646,0.5136227,0.94740802,0.03846354,0.04375349,-0.00459256,0.00804726,0.04472379,0.33895749,0.4339253,-0.26056257,0.18566065,3
0.766664,0.06625818,0.51362002,0.94746441,0.03880989,0.04883987,-0.00126541,0.00503006,0.04911452,0.31419078,0.21624978,-0.2286488,0.21452402,3
0.774997,0.06673921,0.51372397,0.94748163,0.03930232,0.05229799,-0.00007331,0.00379087,0.05243526,0.09967736,-0.09341434,-0.14141916,0.09269014,3
0.78333,0.06721497,0.51367128,0.9474929,0.03978113,0.05275084,-0.00208379,0.00354828,0.0529111,-0.18375596,-0.30123472,-0.06886425,-0.12523802,3
