Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
0.924996,0.07447778,0.51234204,0.94806105,0.04856332,0.05856381,0.00841502,0.00996057,0.05999788,-0.74666935,-1.23202121,0.04171406,-0.68844837,3
0.93333,0.0749874,0.51241535,0.94816053,0.04908771,0.04909468,-0.00477077,0.01012925,0.05035524,-0.82149041,-1.27369118,-0.04895724,-0.62661278,3
0.941663,0.07527137,0.51224685,0.94828075,0.04943911,0.03919602,-0.0184042,0.00915531,0.04425904,-0.66091287,-1.01317859,-0.11492466,-0.47576943,3
0.949996,0.07546518,0.5119611,0.94836432,0.04979435,0.03309457,-0.02779853,0.00713351,0.0438052,-0.26991579,-0.4562186,-0.1203249,-0.2051909,3
0.958329,0.07568524,0.51165867,0.94839752,0.05016984,0.03268419,-0.0301857,0.00525357,0.04479992,0.21639746,0.25146937,-0.04300991,0.16926263,3
0.966663,0.07596687,0.51136643,0.94840181,0.05057573,0.0384678,-0.02310345,0.00479223,0.04512767,0.59199238,0.77001715,0.06276776,0.42705122,3
0.974996,0.07633153,0.51116943,0.94841617,0.05099044,0.04787822,-0.00953976,0.00627043,0.04922041,0.701087,0.7985847,0.09682135,0.42274055,3
0.983329,0.07673076,0.51109844,0.9484812,0.05140111,0.05701393,0.00479283,0.00974182,0.05803846,0.52865726,0.32968068,0.01530061,0.34864995,3
0.991663,0.07725857,0.51126683,0.94858855,0.05196544,0.06120252,0.00698212,0.01090054,0.06255654,0.20002732,-0.26496857,-0.08886049,0.27786461,3
0.999996,0.07787698,0.51155788,0.94871646,0.05266078,0.05938658,-0.00458004,0.00820342,0.06012519,-0.10103415,-0.58300728,-0.12736183,0.02865546,3
1.008329,0.07846463,0.51171875,0.94886726,0.05328844,0.05377992,-0.02288708,0.00281335,0.05851507,-0.22845766,-0.43871045,-0.07279456,-0.21751182,3
